,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/alpha_d_ff,config/batch_size,config/d_core,config/d_model,config/dropout,config/e_layers,config/learning_rate,config/lradj,logdir
15,0.6968168375953552,0.5332565348714328,0.5332565348714328,1724797597,checkpoint_000013,True,False,14,42aee8fe,2024-08-28_00-26-37,0.8796372413635254,14.887262344360352,11978,antonio,192.168.1.107,8.33882737159729,8,4,128,32,512,0.006024047800956565,2,0.0006600767307253288,type1,42aee8fe
16,0.810242152795559,0.6041839065953352,0.5982863046349557,1724797596,checkpoint_000005,True,False,6,2a102197,2024-08-28_00-26-36,1.0284850597381592,6.9168007373809814,12049,antonio,192.168.1.107,6.9168007373809814,6,1,64,32,128,0.003922198111199461,1,0.0004092029476590083,type1,2a102197
17,0.8150775134563446,0.6041378440100085,0.603453398274912,1724797452,checkpoint_000005,True,False,6,e95b755e,2024-08-28_00-24-12,1.031928300857544,5.980496406555176,8133,antonio,192.168.1.107,5.980496406555176,6,1,128,512,32,0.004447203758758366,4,0.0008688318384137566,type1,e95b755e
18,0.699052867870177,0.540927257404345,0.540927257404345,1724797447,checkpoint_000007,True,False,8,09c94690,2024-08-28_00-24-07,0.8848588466644287,7.980008840560913,7099,antonio,192.168.1.107,7.980008840560913,8,3,128,64,512,0.005487181812933246,2,0.000559342647458398,type1,09c94690
19,0.8053561064504808,0.6135394266500125,0.595254143952551,1724797444,checkpoint_000004,True,False,5,c8d322d0,2024-08-28_00-24-04,0.8025140762329102,4.672433614730835,7088,antonio,192.168.1.107,4.672433614730835,5,1,128,32,64,0.0051194062811221325,2,0.0011887851979920368,type1,c8d322d0
20,0.6991364504060438,0.544879984201959,0.5438969036816779,1724786798,checkpoint_000007,True,False,8,21490f93,2024-08-27_21-26-38,0.8794252872467041,8.835309028625488,1104258,antonio,192.168.1.103,8.835309028625488,8,4,128,128,512,0.0058753420742430045,2,0.0005966091334744869,type1,21490f93
21,0.5656206758200087,0.6195515347321461,0.5939799874317641,1724786796,checkpoint_000007,True,False,8,8c3f80dd,2024-08-27_21-26-36,8.8165283203125,57.80357241630554,1097965,antonio,192.168.1.103,57.80357241630554,8,1,8,32,512,0.010327600913113967,2,0.000254286392862276,cosine,8c3f80dd
22,0.7182762392105595,0.5483895047623379,0.5483895047623379,1724786792,checkpoint_000007,True,False,8,663e1379,2024-08-27_21-26-32,1.1406002044677734,8.307344675064087,1103583,antonio,192.168.1.103,8.307344675064087,8,1,128,32,512,0.00564332390016861,2,0.00037629932133259017,type1,663e1379
23,0.7613796803259081,0.6155355238406981,0.6071737707074953,1724786786,checkpoint_000003,True,False,4,963cfcd1,2024-08-27_21-26-26,1.0949680805206299,4.44471001625061,1103364,antonio,192.168.1.103,4.44471001625061,4,1,128,32,512,0.004226651255368895,2,0.0014346087459112156,type1,963cfcd1
24,0.683645781009428,0.5460084346034692,0.5443896501773708,1724786782,checkpoint_000007,True,False,8,f16eaca2,2024-08-27_21-26-22,0.9753186702728271,9.960514545440674,1102503,antonio,192.168.1.103,9.960514545440674,8,1,128,32,512,0.005369640162980332,3,0.0009422867867511845,type1,f16eaca2
25,0.7511439881762679,0.6715557256791945,0.5977065677598139,1724786780,checkpoint_000003,True,False,4,1aad0e90,2024-08-27_21-26-20,3.8923091888427734,12.954617977142334,1101867,antonio,192.168.1.103,12.954617977142334,4,4,16,256,512,0.004720970973575608,1,0.0007418291660770011,type1,1aad0e90
26,0.7303809569618567,0.557511544045559,0.5510735213067012,1724786770,checkpoint_000005,True,False,6,1404b022,2024-08-27_21-26-10,1.0155136585235596,6.247621059417725,1101599,antonio,192.168.1.103,6.247621059417725,6,1,64,32,128,0.005128474960866526,2,0.001016438181404032,type1,1404b022
27,0.676716870838596,0.5463499480902404,0.5435505536958499,1724786765,checkpoint_000006,True,False,7,e8e2088c,2024-08-27_21-26-05,1.2848596572875977,12.229268789291382,1100353,antonio,192.168.1.103,12.229268789291382,7,1,128,32,512,0.004812584107845115,4,0.0006450349804591643,type1,e8e2088c
28,0.6870561785274937,0.5440303885180992,0.5425649123134463,1724786761,checkpoint_000007,True,False,8,87461ba0,2024-08-27_21-26-01,1.1810550689697266,10.391689777374268,1099928,antonio,192.168.1.103,10.391689777374268,8,3,128,32,512,0.004500876506897673,2,0.0008200291325018989,type1,87461ba0
29,0.8109523288665279,0.610791359798382,0.6021843430125454,1724786750,checkpoint_000005,True,False,6,d55f09f3,2024-08-27_21-25-50,0.5956461429595947,4.554160118103027,1098926,antonio,192.168.1.103,4.554160118103027,6,1,128,512,64,0.0040881215280143485,2,0.0005977198573344846,type1,d55f09f3
30,0.8162948383438972,0.6056134453640664,0.6010470528781331,1724786748,checkpoint_000005,True,False,6,0cdba77e,2024-08-27_21-25-48,0.6553561687469482,4.5403876304626465,1098779,antonio,192.168.1.103,4.5403876304626465,6,4,128,64,32,0.007529167215270221,2,0.0007059311242467644,cosine,0cdba77e
