,id,seed,budget,train_loss,valid_loss,cost,time_s,status,start_time,end_time,config_batch_size,config_learning_rate,config_d_model,config_alpha_d_ff,config_d_core,config_e_layers,config_dropout,config_lradj
834,696,123,3,0.431528776884079,0.2249915054713374,0.22499150547133742,4.385082721710205,StatusType.SUCCESS,1724960237.3144886,1724960241.7003028,64,0.0006805982621,512,3,128,3,0.0054556471538,type1
835,697,123,3,0.5283064842224121,0.2547230504680579,0.2547230504680579,3.353893280029297,StatusType.SUCCESS,1724960241.7235196,1724960245.0782864,64,0.0033866521024,128,3,64,4,0.0025217373125,type1
836,698,123,3,0.6627391576766968,0.2126533707393136,0.2126533707393136,3.588183641433716,StatusType.SUCCESS,1724960245.099768,1724960248.688793,64,6.80696949e-05,512,4,64,2,0.0076986940447,cosine
837,698,123,8,0.6627391576766968,0.2126533707393136,0.2126533707393136,5.338016510009766,StatusType.SUCCESS,1724960248.7102764,1724960254.0491247,64,6.80696949e-05,512,4,64,2,0.0076986940447,cosine
838,699,123,8,0.6629208326339722,0.2126494694654988,0.21264946946549887,7.950777292251587,StatusType.SUCCESS,1724960254.0925963,1724960262.0441818,64,6.80187405e-05,512,4,64,2,0.0077047352557,cosine
839,700,123,8,0.3349627554416656,0.218891831617167,0.21889183161716702,6.053200721740723,StatusType.SUCCESS,1724960262.0661726,1724960268.1202044,64,0.0018731008902,64,3,512,2,0.007426273796,cosine
840,701,123,3,0.6644958257675171,0.2126511121941212,0.2126511121941212,3.584979772567749,StatusType.SUCCESS,1724960268.1654022,1724960271.7512262,64,6.58832981e-05,512,4,64,2,0.007697333587,cosine
841,702,123,3,0.6620737910270691,0.2126582966726173,0.2126582966726173,3.5737221240997314,StatusType.SUCCESS,1724960271.7729998,1724960275.3475552,64,6.90660908e-05,512,4,64,2,0.0076618822438,cosine
842,703,123,3,0.6494396328926086,0.2131224035788695,0.21312240357886952,3.607938289642334,StatusType.SUCCESS,1724960275.3691325,1724960278.9779148,64,8.41262949e-05,512,4,64,2,0.0008719215028,cosine
843,701,123,8,0.6644958257675171,0.2126511121941212,0.2126511121941212,5.342334032058716,StatusType.SUCCESS,1724960278.9996805,1724960284.3428302,64,6.58832981e-05,512,4,64,2,0.007697333587,cosine
